operator,num_of_crashes
Alaska Travel,1
Alaska-Washington Airways,1
ALFA,1
Alfa Airlines,1
Airtech Rajawaldi Udara,1
Airwave Transport,1
Airways,1
AirWest Airlines,1
Airwork,1
Airwork NZ,1
AKF Polet,1
Akhal Air,1
Ala Littolia,1
Airborne Freight Company Union,1
Airborne Transport,1
Airbus Industrie,1
Aircraft Charter Group Inc,1
Aircraft Transport and Travel,1
Aircraft Travel Transport,1
Air-Lift Commuter,1
Airline PNG,1
Airline Transport,1
Airline Transport Carriers,1
Air China,1
Air Comores,1
Air Congo,1
Air Congo (BIAS)?,1
Air Continental,1
Air Cush,1
Air East,1
Air Evac Lifeteam,1
Air Ferry Ltd,1
Air Fiji,1
Air Fiordland,1
Air Flamence,1
Air Florida,1
Air Force of the Democratic Republic of the Congo,1
Aerovias Condor,1
Air Bagan,1
Air Bissau,1
Air Bleu,1
Air Cameroon,1
Agni Air,1
Agni AirÃ‚Â ,1
AIDA,1
Air  Mali,1
Air 70,1
Air Adventures New Zealand Ltd,1
Air Affaires Gabon,1
Aerotaxi,1
Aerotaxi Manaus,1
Aerotechnia,1
Aerotransportes Petroleros,1
Aero-Tropics,1
Aerovanguardia,1
Africa One Congo,1
African Air,1
African Commuter Services,1
Afriqiyah Airways,1
Agco Corp,1
Air Guinee,1
Air Haiti International,1
Air Hawaii,1
Air Illinois,1
Air Carriers,1
Air Carriers Express Services Inc,1
Air India Express,1
Air GaspÃƒÂ©,1
Air Global,1
Air Caraibes,1
Air Amercia,1
Air Martinique,1
Air Mauritanie,1
Air Melanesie,1
Air Memphis,1
Air Methods / Classic Helicopters,1
Air Moorea,1
Air National Guard,1
Air Ivoire,1
Air Ivorie,1
Air Jordan,1
Air Karibu,1
Air Kasai,1
Air Lanka,1
Air Laos,1
Air Liberia,1
Eagle Cap Leasing,1
Eagle Commuter,1
EAS Airlines (Executive Airline Services),1
Duncan Aircraft Sales,1
Dutch Continental Airways,1
Dutch Dakota Association,1
Eagle Air,1
Ecuador Army,1
Ecuadorean Air Force,1
Ecuadorian Air Force,1
Ecuatair,1
Ecuato Guineana de Aviacion,1
Edde Airlines,1
EDELCA,1
Edwin Ortiz,1
DNL Norwegian Air Lines,1
Dodita Air Cargo,1
Dominicana,1
Dominion Air Lines,1
Don Everall Aviation,1
Dostum-Galboddin Militia,1
Douglas Aircraft,1
Douglas Aircraft Company,1
Divi Divi Air,1
Dirgantara Air Service,1
Deutsche Luftwaffe,1
Deutsche Zeppelin Reederei,1
Devlet Hava Yollairi,1
Fairways (Filipinas Orient Airways),1
Falcon Aviation Group,1
FAMA (Argentina),1
FANA Forca Aerea Nacional Angolana,1
Far East Aviation,1
East Coast Jets,1
East Provincial Airways,1
Eurasia,1
Euro Asia Aviation,1
Eurojet Italila,1
Europe Aero Service EAS,1
Everest Air,1
Evergreen International Airlines,1
Evolga,1
Executive Airlines,1
Executive Funds,1
Emirates,1
Emirates Air Transport,1
Empire Airlines leased from FedEx,1
Empresa Aviacion del Pacifico,1
Empresa Transportes AÃƒÂ©reos,1
EMS,1
Enimex,1
ERA Helicopter,1
ETA Air Charter,1
El Magal Aviation,1
El Salvador Air Force,1
El Venado,1
Elbee Airlines,1
Embry Riddle Company,1
Eitos,1
EjÃƒÂ©rcito del Aire,1
Ejercito del Aire,1
Corporacion Boliviano de Fomento,1
Corporate,1
Corporate Airlines (American Connection),1
Corrieri Aerei Militari,1
Costal Aviation,1
Cougar Helicopters,1
Cross Airways,1
Continental Charters,1
Continental Connection/Colgan Air,1
Continental Express,1
Continentale Deutsche Luftreederei,1
Conviasa,1
ConviasaÃ‚Â Airline,1
Cooper Skybird Air Charters,1
COPA (Panama),1
Copterline,1
